model,setting,level,total,accuracy,overall_mbr,error_conditioned_mbr,a_mbr,out_of_set_rate,invalid_rate,wrong
qwen3-vl-plus,full_image,L1,1773,0.7552171460800903,0.07896221094190638,0.3225806451612903,0.7642857142857142,0.1658206429780034,0.0,434
qwen3-vl-plus,full_image,L3,2488,0.7331189710610932,0.09606109324758842,0.35993975903614456,0.6903765690376569,0.17081993569131831,0.0,664
